Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\input\implementationguide-IHE.FormatCode.xml	4184	-	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	36	16	0	0	0	2	0	1
input/resources/Bundle-history-IHE-formatcode.codesystem.xml	19903	9	4	0	5	0	0	0	1	17	0	0	0	0	0	0	0	0	0	4	53	16	0	0	0	0	0	0
input/resources/Bundle-history-IHE-formatcode.valueset.xml	9347	8	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	27	12	0	0	0	0	0	0
input/resources/codesystem-formatcode.xml	51183	15	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	100	76	0	0	0	3	0	0
input/resources/valueset-formatcode.xml	2551	9	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	11	55	0	0	0	1	0	0
C:\Git\temp\ig-builds\ihe.formatcode.fhir#1.5.0-milestone\input\includes\menu.xml	407	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.formatcode.fhir#1.5.0-milestone\input\data\features.yml	273	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.formatcode.fhir#1.5.0-milestone\input\pagecontent\background.md	2390	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.formatcode.fhir#1.5.0-milestone\input\pagecontent\index.md	1545	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.formatcode.fhir#1.5.0-milestone\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	2041	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
